Read 1	Read 2	Accession Number
STARR_1.8_XO_d0_r2_1.fastq	STARR_1.8_XO_d0_r2_2.fastq	GSM5102761
STARR_1.8_XO_d0_r3_1.fastq	STARR_1.8_XO_d0_r3_2.fastq	GSM5102762
STARR_1.8_XO_d2_r1_1.fastq	STARR_1.8_XO_d2_r1_2.fastq	GSM5102763
STARR_1.8_XO_d2_r2_1.fastq	STARR_1.8_XO_d2_r2_2.fastq	GSM5102764
STARR_1.8_XO_d2_r3_1.fastq	STARR_1.8_XO_d2_r3_2.fastq	GSM5102765
STARR_1.8_Input_1.fastq	STARR_1.8_Input_2.fastq	GSM5102766
TT_TX1072_XXdXic_d0_r1_1.fastq	TT_TX1072_XXdXic_d0_r1_2.fastq	GSM5102767
TT_TX1072_XXdXic_d0_r2_1.fastq	TT_TX1072_XXdXic_d0_r2_2.fastq	GSM5102768
TT_TX1072_XXdXic_d2_r1_1.fastq	TT_TX1072_XXdXic_d2_r1_2.fastq	GSM5102769
TT_TX1072_XXdXic_d2_r2_1.fastq	TT_TX1072_XXdXic_d2_r2_2.fastq	GSM5102770
TT_TX1072_XXdXic_d4_r1_1.fastq	TT_TX1072_XXdXic_d4_r1_2.fastq	GSM5102771
TT_TX1072_XXdXic_d4_r2_1.fastq	TT_TX1072_XXdXic_d4_r2_2.fastq	GSM5102772
TT_TX1072_XO_d0_r1_1.fastq	TT_TX1072_XO_d0_r1_2.fastq	GSM5102773
TT_TX1072_XO_d0_r2_1.fastq	TT_TX1072_XO_d0_r2_2.fastq	GSM5102774
TT_TX1072_XO_d2_r1_1.fastq	TT_TX1072_XO_d2_r1_2.fastq	GSM5102775
TT_TX1072_XO_d2_r2_1.fastq	TT_TX1072_XO_d2_r2_2.fastq	GSM5102776
TT_TX1072_XO_d4_r1_1.fastq	TT_TX1072_XO_d4_r1_2.fastq	GSM5102777
TT_TX1072_XO_d4_r2_1.fastq	TT_TX1072_XO_d4_r2_2.fastq	GSM5102778
RNA_TX1072_XXdXic_d0_r1_1.fastq	RNA_TX1072_XXdXic_d0_r1_2.fastq	GSM5102779
RNA_TX1072_XXdXic_d0_r2_1.fastq	RNA_TX1072_XXdXic_d0_r2_2.fastq	GSM5102780
RNA_TX1072_XXdXic_d2_r1_1.fastq	RNA_TX1072_XXdXic_d2_r1_2.fastq	GSM5102781
RNA_TX1072_XXdXic_d2_r2_1.fastq	RNA_TX1072_XXdXic_d2_r2_2.fastq	GSM5102782
RNA_TX1072_XXdXic_d4_r1_1.fastq	RNA_TX1072_XXdXic_d4_r1_2.fastq	GSM5102783
RNA_TX1072_XXdXic_d4_r2_1.fastq	RNA_TX1072_XXdXic_d4_r2_2.fastq	GSM5102784
RNA_TX1072_XO_d0_r1_1.fastq	RNA_TX1072_XO_d0_r1_2.fastq	GSM5102785
RNA_TX1072_XO_d0_r2_1.fastq	RNA_TX1072_XO_d0_r2_2.fastq	GSM5102786
RNA_TX1072_XO_d2_r1_1.fastq	RNA_TX1072_XO_d2_r1_2.fastq	GSM5102787
RNA_TX1072_XO_d2_r2_1.fastq	RNA_TX1072_XO_d2_r2_2.fastq	GSM5102788
RNA_TX1072_XO_d4_r1_1.fastq	RNA_TX1072_XO_d4_r1_2.fastq	GSM5102789
RNA_TX1072_XO_d4_r2_1.fastq	RNA_TX1072_XO_d4_r2_2.fastq	GSM5102790
