run_accession sra_ftp
ERR1041642 E5.11.957.fastq
ERR1041643 E5.11.959.fastq
ERR1041644 E5.11.960.fastq
ERR1041645 E5.11.961.fastq
ERR1041646 E5.11.962.fastq
ERR1041647 E5.11.963.fastq
ERR1041648 E5.11.964.fastq
ERR1041649 E5.11.965.fastq
ERR1041650 E5.11.966.fastq
ERR1041651 E5.12.1027.fastq
ERR1041652 E5.12.1028.fastq
ERR1041653 E5.12.1029.fastq
ERR1041654 E5.12.1031.fastq
ERR1041655 E5.12.1033.fastq
ERR1041656 E5.12.1034.fastq
ERR1041657 E5.12.1035.fastq
ERR1041658 E5.12.1036.fastq
ERR1041659 E5.12.1037.fastq
ERR1041660 E5.12.1038.fastq
ERR1041661 E5.12.1039.fastq
ERR1041662 E5.12.1041.fastq
ERR1041663 E5.12.1042.fastq
ERR1041664 E5.13.1750.fastq
ERR1041665 E5.13.1751.fastq
ERR1041666 E5.13.1752.fastq
ERR1041667 E5.13.1753.fastq
ERR1041668 E5.13.1754.fastq
ERR1041669 E5.13.1755.fastq
ERR1041670 E5.13.1756.fastq
ERR1041671 E5.13.1757.fastq
ERR1041672 E5.13.1758.fastq
ERR1041673 E5.13.1759.fastq
ERR1041674 E5.13.1760.fastq
ERR1041675 E5.13.1761.fastq
ERR1041676 E5.13.1762.fastq
ERR1041677 E5.13.1763.fastq
ERR1041678 E5.13.1764.fastq
ERR1041679 E5.13.1765.fastq
ERR1041680 E5.13.1766.fastq
ERR1041681 E5.13.1767.fastq
ERR1041682 E5.13.1768.fastq
ERR1041683 E5.13.1769.fastq
ERR1041684 E5.13.1770.fastq
ERR1041685 E5.13.1771.fastq
ERR1041686 E5.13.1773.fastq
ERR1041687 E5.13.1774.fastq
ERR1041688 E5.13.1775.fastq
ERR1041689 E5.13.1776.fastq
ERR1041690 E5.13.1777.fastq
ERR1041691 E5.13.1778.fastq
ERR1041692 E5.13.1779.fastq
ERR1041693 E5.13.1780.fastq
ERR1041694 E5.13.1781.fastq
ERR1041695 E5.14.1782.fastq
ERR1041696 E5.14.1783.fastq
ERR1041697 E5.14.1784.fastq
ERR1041698 E5.14.1785.fastq
ERR1041699 E5.14.1786.fastq
ERR1041700 E5.14.1787.fastq
ERR1041701 E5.14.1788.fastq
ERR1041702 E5.14.1789.fastq
ERR1041703 E5.14.1790.fastq
