id	re	Plasmid_library
gRNA_1874	RE48	838.9208791208789
gRNA_241	RE11	786.8637362637361
gRNA_4772	RE103	1036.1373626373625
gRNA_3796	RE83	587.6450549450548
gRNA_2635	RE60	1090.1967032967032
gRNA_840	RE22	1181.296703296703
gRNA_1911	RE48	936.0274725274724
gRNA_3388	RE73	329.3615384615384
gRNA_1124	RE30	433.4758241758241
gRNA_6987	RE137	1162.2758241758238
gRNA_1514	RE39	428.4703296703296
gRNA_4292	RE90	1081.186813186813
gRNA_3009	RE65	993.0901098901097
gRNA_5791	RE118	1006.1043956043953
gRNA_6043	RE122	903.9923076923075
gRNA_7033	RE138	1180.2956043956042
gRNA_2502	RE57	406.4461538461538
gRNA_5050	RE107	783.8604395604394
gRNA_5513	RE112	846.9296703296701
gRNA_416	RE16	1038.1395604395602
gRNA_5752	RE116	1826.004395604395
gRNA_5732	RE116	921.0109890109889
gRNA_6452	RE127	1330.4604395604392
gRNA_5623	RE113	1654.8164835164832
gRNA_3438	RE75	830.9120879120877
gRNA_5105	RE108	941.0329670329668
gRNA_4395	RE93	939.030769230769
gRNA_6272	RE126	504.55384615384605
gRNA_3139	RE68	1068.1725274725272
gRNA_3411	RE74	1415.5538461538458
gRNA_5150	RE109	1068.1725274725272
gRNA_5116	RE108	521.5725274725273
gRNA_6056	RE122	1181.296703296703
gRNA_36	RE4	751.8252747252745
gRNA_171	RE8	1065.1692307692306
BRDN0000737878	NT	1406.5439560439556
gRNA_357	RE15	524.5758241758241
gRNA_6760	RE130	571.6274725274724
gRNA_6753	RE130	1088.1945054945052
gRNA_6205	RE124	703.7725274725273
gRNA_6872	RE135	901.9901098901097
gRNA_2073	RE51	811.8912087912086
gRNA_4686	RE100	185.20329670329667
gRNA_3778	RE82	833.9153846153845
gRNA_4465	RE94	922.0120879120877
gRNA_2881	RE64	1222.341758241758
gRNA_952	RE25	885.9725274725273
gRNA_6243	RE125	1425.564835164835
gRNA_5322	RE111	1267.3912087912086
gRNA_3357	RE72	1116.2252747252744
gRNA_6351	RE127	344.3780219780219
gRNA_954	RE25	430.47252747252736
gRNA_4208	RE89	872.9582417582416
gRNA_2064	RE51	1688.8538461538458
gRNA_4210	RE89	1094.2010989010987
gRNA_6985	RE137	948.0406593406591
gRNA_3026	RE65	881.9681318681316
gRNA_6091	RE123	1068.1725274725272
gRNA_6521	RE127	1318.4472527472524
gRNA_1670	RE43	1292.4186813186811
gRNA_1285	RE34	802.8813186813185
gRNA_364	RE15	818.8989010989009
gRNA_4297	RE90	955.0483516483514
gRNA_6350	RE127	1091.197802197802
gRNA_3537	RE77	1315.4439560439557
gRNA_2328	RE55	558.6131868131866
BRDN0000738204	NT	751.8252747252745
gRNA_993	RE26	735.8076923076922
BRDN0000738159	NT	727.798901098901
BRDN0000737760	NT	1230.3505494505491
gRNA_4885	RE105	459.5043956043955
BRDN0000738276	NT	915.0043956043954
gRNA_1943	RE49	876.9626373626371
gRNA_6813	RE133	885.9725274725273
gRNA_4973	RE106	1116.2252747252744
gRNA_2491	RE57	1265.3890109890108
gRNA_6722	RE130	891.9791208791207
gRNA_493	RE17	458.5032967032966
gRNA_6046	RE122	988.0846153846152
gRNA_256	RE12	995.0923076923075
gRNA_5807	RE119	1558.7109890109887
gRNA_6679	RE129	665.730769230769
gRNA_4614	RE98	885.9725274725273
gRNA_3080	RE67	1473.617582417582
gRNA_6767	RE130	715.7857142857141
gRNA_3638	RE79	951.0439560439559
gRNA_2903	RE64	466.5120879120878
BRDN0000738090	NT	690.7582417582416
gRNA_6407	RE127	779.8560439560438
gRNA_1359	RE36	929.01978021978
gRNA_2735	RE61	1222.341758241758
BRDN0000737555	NT	605.664835164835
gRNA_296	RE13	1095.2021978021976
gRNA_2505	RE57	1485.630769230769
gRNA_2687	RE60	518.5692307692307
gRNA_6651	RE129	1188.3043956043953
gRNA_6115	RE123	661.7263736263735
gRNA_6071	RE122	602.6615384615383
BRDN0000738075	NT	1603.7604395604392
gRNA_1813	RE46	538.5912087912087
gRNA_1422	RE38	370.40659340659334
BRDN0000738177	NT	1050.152747252747
gRNA_4853	RE105	1319.4483516483513
gRNA_287	RE13	1121.230769230769
gRNA_2913	RE64	1219.3384615384612
gRNA_1255	RE33	687.7549450549449
gRNA_2365	RE56	611.6714285714285
gRNA_2097	RE52	1114.2230769230766
gRNA_1174	RE31	1069.1736263736261
gRNA_6882	RE135	797.875824175824
gRNA_2747	RE61	508.55824175824165
gRNA_6583	RE128	846.9296703296701
gRNA_2608	RE59	957.0505494505493
gRNA_1579	RE42	1264.387912087912
gRNA_1502	RE39	890.9780219780217
gRNA_4628	RE98	740.8131868131867
gRNA_3440	RE75	209.22967032967028
gRNA_4361	RE93	868.9538461538459
gRNA_2351	RE56	829.9109890109888
gRNA_195	RE8	373.40989010989
gRNA_5383	RE111	565.620879120879
gRNA_5555	RE112	693.7615384615383
gRNA_6204	RE124	672.7384615384614
gRNA_4270	RE90	1204.3219780219777
gRNA_5227	RE110	434.47692307692296
gRNA_2845	RE63	889.9769230769228
gRNA_2045	RE50	1064.1681318681317
gRNA_851	RE22	851.9351648351646
gRNA_797	RE22	420.46153846153834
gRNA_3500	RE76	1174.2890109890106
gRNA_2660	RE60	1059.162637362637
gRNA_5637	RE114	516.5670329670329
gRNA_4275	RE90	653.7175824175823
gRNA_150	RE7	1214.3329670329667
gRNA_624	RE21	1217.3362637362634
gRNA_2496	RE57	1044.1461538461535
gRNA_5502	RE112	1018.1175824175822
gRNA_3992	RE85	820.9010989010987
gRNA_5078	RE107	906.9956043956042
gRNA_4017	RE85	600.6593406593405
gRNA_5931	RE120	559.6142857142856
gRNA_4470	RE95	817.897802197802
gRNA_3521	RE76	1171.285714285714
gRNA_4473	RE95	943.0351648351647
gRNA_3829	RE84	1036.1373626373625
gRNA_5176	RE110	1230.3505494505491
gRNA_1202	RE31	832.9142857142855
gRNA_1345	RE36	1057.1604395604393
gRNA_2615	RE59	1476.6208791208787
gRNA_1997	RE50	1048.1505494505493
gRNA_4259	RE90	1050.152747252747
gRNA_5598	RE113	684.7516483516482
gRNA_6857	RE134	385.42307692307685
gRNA_4231	RE90	721.7923076923075
gRNA_2919	RE64	1111.21978021978
gRNA_1431	RE38	1684.8494505494502
gRNA_3055	RE66	526.5780219780219
gRNA_1047	RE30	1471.6153846153843
gRNA_1569	RE41	961.0549450549448
gRNA_4143	RE88	1547.6989010989007
gRNA_153	RE7	583.6406593406592
gRNA_5713	RE116	687.7549450549449
gRNA_2783	RE61	518.5692307692307
gRNA_5819	RE119	695.7637362637361
gRNA_3501	RE76	974.0692307692306
gRNA_5418	RE112	786.8637362637361
gRNA_747	RE22	1077.1824175824174
gRNA_4888	RE105	1632.7923076923073
gRNA_4377	RE93	980.075824175824
gRNA_1510	RE39	891.9791208791207
BRDN0000737780	NT	574.6307692307691
gRNA_477	RE17	912.0010989010987
BRDN0000738372	NT	967.0615384615382
gRNA_6327	RE127	813.8934065934064
gRNA_3665	RE80	952.0450549450547
gRNA_183	RE8	1193.30989010989
gRNA_6765	RE130	942.0340659340657
