re	sgRNA	Negative|beta	Negative|z	Negative|p-value	Negative|fdr	Negative|wald-p-value	Negative|wald-fdr	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr	Medium|beta	Medium|z	Medium|p-value	Medium|fdr	Medium|wald-p-value	Medium|wald-fdr	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
RE61	126	0.134	6.1592	0	0	7.311e-10	1.1291e-08	-0.013972	-0.64104	0.035971	0.2381	0.5215	0.99032	-0.064841	-2.9793	0	0	0.0028894	0.036511	-0.087644	-4.0263	0	0	5.6668e-05	0.00060591
RE80	43	0.0039371	0.11858	0.60432	0.77523	0.90561	0.96359	0.0058402	0.17576	0.93885	0.97761	0.86048	0.99032	-0.011255	-0.33919	0.17266	0.39344	0.73447	0.994	-0.040252	-1.2128	0.0035971	0.015625	0.22521	0.79317
RE13	79	0.019931	0.85749	0.35971	0.60241	0.39118	0.9045	0.0029284	0.12589	0.69424	0.90654	0.89982	0.99032	-0.014363	-0.61819	0.010791	0.05	0.53645	0.994	-0.03369	-1.4499	0	0	0.14708	0.58411
RE55	113	-0.11328	-4.827	0	0	1.386e-06	1.4819e-05	0.10979	4.6808	0	0	2.857e-06	0.0001866	0.039329	1.6786	0	0	0.093225	0.72423	-0.064548	-2.7534	0	0	0.0058978	0.043147
RE85	100	0.16128	6.5014	0	0	7.9573e-11	1.8434e-09	-0.054125	-2.1748	0	0	0.029645	0.68677	-0.089516	-3.6049	0	0	0.00031229	0.0048231	-0.138	-5.5548	0	0	2.7797e-08	4.2931e-07
RE1	10	0.034663	0.43611	0.44604	0.66667	0.66276	0.92585	0.037923	0.47674	0.26619	0.7193	0.63355	0.99032	0.039404	0.49609	0.21223	0.45455	0.61983	0.994	0.021795	0.27436	0.44245	0.60784	0.78381	0.98292
RE25	37	0.042937	1.4204	0.10072	0.27451	0.15549	0.60396	0.021119	0.69808	0.44964	0.78125	0.48512	0.99032	0.016465	0.5449	0.46403	0.73295	0.58582	0.994	0.015667	0.51848	0.31295	0.47802	0.60412	0.98292
RE84	104	0.022422	1.0781	0.14029	0.33051	0.281	0.83103	0.014415	0.69253	0.35971	0.72464	0.4886	0.99032	-0.0033079	-0.15913	0.22302	0.46269	0.87356	0.994	-0.016216	-0.78002	0.014388	0.05	0.43538	0.98292
RE121	75	0.049595	1.9213	0	0	0.054689	0.28155	-0.015528	-0.60085	0.0071942	0.066667	0.54794	0.99032	-0.051768	-2.0058	0	0	0.044875	0.41584	-0.052312	-2.0268	0	0	0.042678	0.22816
RE105	159	0.028448	1.7376	0	0	0.082281	0.40847	0.0072279	0.44109	0.97122	0.9854	0.65915	0.99032	0.0082275	0.50281	0.57554	0.79703	0.6151	0.994	-0.0062597	-0.38251	0.27338	0.44186	0.70209	0.98292
RE98	28	0.053763	1.3264	0.032374	0.10714	0.1847	0.62618	0.0028474	0.070184	0.88489	0.97761	0.94405	0.99032	-0.0036534	-0.090161	0.53957	0.78125	0.92816	0.994	-0.0037924	-0.09359	0.86331	0.92279	0.92543	0.98361
RE53	60	-0.1011	-2.9816	0	0	0.0028671	0.018115	0.056103	1.6547	0	0	0.097976	0.99032	0.068035	2.009	0	0	0.044541	0.41584	0.069765	2.06	0	0	0.039398	0.21905
RE64	70	0.024972	1.011	0.26978	0.50676	0.31202	0.88512	-0.0031158	-0.12603	0.41727	0.78125	0.89971	0.99032	-0.0074812	-0.30302	0.21583	0.45455	0.76187	0.994	-0.026026	-1.0541	0.039568	0.11	0.29186	0.922
RE30	126	-0.0034131	-0.19264	0.13309	0.31897	0.84724	0.95745	-0.0077079	-0.43466	0.086331	0.3871	0.66381	0.99032	0.0031105	0.17568	0.70863	0.83475	0.86055	0.994	0.012769	0.7212	0.1259	0.25735	0.47079	0.98292
RE48	64	-0.035607	-1.1857	0	0	0.23573	0.762	0.066476	2.2131	0	0	0.026892	0.68677	0.049994	1.667	0	0	0.095522	0.72423	0.027435	0.91461	0.010791	0.039474	0.3604	0.969
