re	sgRNA	Negative|beta	Negative|z	Negative|p-value	Negative|fdr	Negative|wald-p-value	Negative|wald-fdr	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr	Medium|beta	Medium|z	Medium|p-value	Medium|fdr	Medium|wald-p-value	Medium|wald-fdr	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
RE20	43	-0.023998	-0.89794	0.017986	0.069444	0.36922	0.9045	0.0083888	0.31377	0.89928	0.97761	0.7537	0.99032	0.023911	0.89516	0.1223	0.32692	0.3707	0.994	0.0075108	0.28116	0.57554	0.7087	0.77859	0.98292
RE8	58	0.029646	1.1527	0.16187	0.36885	0.24905	0.76928	0.03419	1.3285	0.082734	0.38333	0.18402	0.99032	0.0078147	0.30397	0.83453	0.91339	0.76115	0.994	-0.0058693	-0.22828	0.68345	0.79167	0.81943	0.98361
RE21	18	0.029961	0.5733	0.40288	0.62088	0.56644	0.92585	0.0035504	0.067886	0.88849	0.97761	0.94588	0.99032	-0.017784	-0.34038	0.26259	0.52083	0.73357	0.994	-0.031262	-0.59833	0.16906	0.30128	0.54962	0.98292
RE119	48	0.02704	1.1539	0.29137	0.51923	0.24853	0.76928	-0.0065632	-0.27991	0.33453	0.72388	0.77954	0.99032	0.0038143	0.16283	0.85252	0.9186	0.87065	0.994	0.0091307	0.38977	0.44604	0.60784	0.6967	0.98292
RE124	14	0.043304	0.99231	0.20863	0.43284	0.32104	0.88551	0.0084653	0.19385	0.98201	0.98913	0.84629	0.99032	-0.0072128	-0.16532	0.55036	0.78866	0.86869	0.994	-0.066105	-1.5148	0.0071942	0.028571	0.12981	0.5307
RE69	14	0.021583	0.36198	0.64748	0.79646	0.71737	0.93353	0.0035432	0.059391	0.8741	0.97761	0.95264	0.99032	-0.012774	-0.2143	0.38849	0.63529	0.83031	0.994	0.0074897	0.12565	0.75899	0.83071	0.90001	0.98361
RE26	36	0.015266	0.42004	0.72662	0.84167	0.67445	0.92585	0.017772	0.48856	0.46403	0.7963	0.62515	0.99032	0.0069918	0.19252	0.92086	0.96241	0.84733	0.994	0.024531	0.67551	0.13309	0.26429	0.49935	0.98292
RE117	22	0.020831	0.44475	0.59712	0.77523	0.6565	0.92585	0.011733	0.2503	0.79856	0.97761	0.80236	0.99032	-0.011724	-0.25042	0.31655	0.57143	0.80226	0.994	0.0013377	0.028574	0.96403	0.96403	0.9772	0.98429
RE116	54	0.0082082	0.27644	0.88849	0.94697	0.78221	0.93353	0.0023053	0.077587	0.6223	0.87374	0.93816	0.99032	0.0061202	0.20623	0.97842	0.98551	0.83662	0.994	-0.012568	-0.42345	0.29137	0.46552	0.67197	0.98292
RE44	4	0.092526	0.78109	0.11871	0.29464	0.43475	0.91441	0.047156	0.39746	0.43885	0.78125	0.69103	0.99032	-9.3288e-05	-0.00078774	0.89209	0.94656	0.99937	0.99937	0.036036	0.30436	0.46763	0.62264	0.76085	0.98292
RE54	13	-0.11756	-1.4913	0.014388	0.058824	0.13588	0.58153	0.12875	1.6341	0.014388	0.10526	0.10223	0.99032	-0.014646	-0.18601	0.41007	0.65517	0.85244	0.994	-0.070551	-0.89576	0.02518	0.077778	0.37038	0.97138
RE91	12	0.011773	0.15371	0.93525	0.96296	0.87784	0.96078	-0.031612	-0.41207	0.19424	0.6	0.68029	0.99032	-0.020743	-0.27103	0.26978	0.52083	0.78637	0.994	-0.074126	-0.9681	0.0035971	0.015625	0.333	0.94462
RE102	27	0.058059	1.3836	0.043165	0.13636	0.16647	0.60894	0.015294	0.36417	0.69424	0.90654	0.71573	0.99032	-0.035814	-0.85362	0.043165	0.16667	0.39331	0.994	-0.10189	-2.4277	0.0071942	0.028571	0.015196	0.091835
RE47	23	-0.17595	-3.4348	0	0	0.00059297	0.0043381	-0.021967	-0.42886	0.17626	0.56977	0.66803	0.99032	0.090847	1.7764	0.017986	0.075758	0.075666	0.65735	0.14086	2.7547	0	0	0.0058737	0.043147
RE83	28	-0.018057	-0.44516	0.13309	0.31897	0.65621	0.92585	0.012687	0.31258	0.69784	0.90654	0.7546	0.99032	0.036713	0.90588	0.046763	0.17568	0.365	0.994	0.025293	0.62406	0.13669	0.26761	0.53259	0.98292
RE23	33	0.034405	0.91133	0.22662	0.44366	0.36212	0.9045	0.023245	0.61515	0.34892	0.72388	0.53845	0.99032	0.0054567	0.14462	0.9964	0.9964	0.88501	0.994	-0.057282	-1.5175	0.039568	0.11	0.12913	0.5307
RE11	12	-0.015306	-0.26908	0.3777	0.61765	0.78787	0.93353	-0.02627	-0.46158	0.26978	0.7193	0.64438	0.99032	-0.0062172	-0.10935	0.60432	0.8	0.91293	0.994	-0.010228	-0.17988	0.70863	0.80738	0.85724	0.98361
RE131	12	0.022697	0.3113	0.63669	0.79464	0.75557	0.93353	0.027951	0.38267	0.44964	0.78125	0.70197	0.99032	-0.0028332	-0.038911	0.69065	0.83333	0.96896	0.99937	-0.0032945	-0.045244	0.89928	0.92279	0.96391	0.98361
RE75	12	0.022529	0.42058	0.64029	0.79464	0.67406	0.92585	0.062255	1.1616	0.061151	0.32692	0.2454	0.99032	0.023461	0.43824	0.48921	0.74725	0.66122	0.994	0.036948	0.69019	0.15468	0.28667	0.49007	0.98292
RE118	16	-0.028939	-0.63689	0.11511	0.29464	0.52419	0.92585	0.029613	0.65122	0.3777	0.72917	0.51491	0.99032	-0.027088	-0.59687	0.1223	0.32692	0.55059	0.994	0.014238	0.31383	0.54317	0.69266	0.75365	0.98292
RE19	3	0.17596	0.84212	0.014388	0.058824	0.39972	0.9045	0.027448	0.13037	0.71942	0.92593	0.89627	0.99032	-0.052295	-0.24966	0.2554	0.51449	0.80285	0.994	0.074225	0.35547	0.17986	0.31646	0.72224	0.98292
RE115	7	0.0034234	0.036564	0.84532	0.93254	0.97083	0.98501	0.0051432	0.054904	0.94245	0.97761	0.95622	0.99032	0.036386	0.38881	0.35971	0.60976	0.69742	0.994	0.066405	0.70961	0.053957	0.13889	0.47795	0.98292
RE2	9	0.013916	0.27301	0.89928	0.94697	0.78484	0.93353	-0.011849	-0.23219	0.5036	0.8046	0.81639	0.99032	-0.0033767	-0.066292	0.72662	0.84874	0.94715	0.994	-0.0037807	-0.07422	0.90288	0.92279	0.94084	0.98361
RE41	14	0.023033	0.34692	0.60791	0.77523	0.72866	0.93353	0.040051	0.60305	0.20144	0.6087	0.54648	0.99032	0.011762	0.1772	0.83094	0.91339	0.85935	0.994	0.02149	0.32375	0.39928	0.58421	0.74613	0.98292
RE10	7	0.040841	0.50226	0.3777	0.61765	0.61549	0.92585	-0.03097	-0.38031	0.29496	0.7193	0.70371	0.99032	0.019362	0.23826	0.69065	0.83333	0.81168	0.994	-0.014438	-0.17762	0.69424	0.79752	0.85902	0.98361
RE27	12	-0.02689	-0.41268	0.20504	0.43284	0.67984	0.92585	-0.010671	-0.16367	0.52878	0.81667	0.86999	0.99032	-0.035238	-0.54103	0.082734	0.25556	0.58849	0.994	-0.037629	-0.57771	0.1223	0.25735	0.56346	0.98292
RE86	12	0.028847	0.38744	0.51439	0.73469	0.69843	0.93348	0.033714	0.45212	0.33453	0.72388	0.65118	0.99032	0.0060201	0.08095	0.97842	0.98551	0.93548	0.994	-0.0042774	-0.057508	0.8705	0.92279	0.95414	0.98361
RE109	12	0.028107	0.40428	0.51799	0.73469	0.68601	0.92585	0.061449	0.88362	0.064748	0.33333	0.3769	0.99032	0.04043	0.58167	0.14388	0.35714	0.56079	0.994	0.010973	0.15785	0.65827	0.78205	0.87457	0.98361
RE29	20	0.010709	0.23925	0.99281	0.99281	0.81091	0.93931	-0.040626	-0.90682	0.014388	0.10526	0.3645	0.99032	0.01553	0.34714	0.65108	0.82273	0.72849	0.994	-0.032065	-0.71657	0.11871	0.25735	0.47364	0.98292
RE9	7	0.00082434	0.012346	0.78777	0.89024	0.99015	0.99732	0.0030061	0.044992	0.91727	0.97761	0.96411	0.99032	-0.0082291	-0.1233	0.65827	0.82301	0.90187	0.994	0.046937	0.70338	0.19784	0.34375	0.48182	0.98292
RE28	6	-0.046572	-0.4042	0.21942	0.44286	0.68606	0.92585	-0.018866	-0.16328	0.49281	0.8046	0.8703	0.99032	-0.0070375	-0.061332	0.70144	0.83333	0.95109	0.994	0.09111	0.79567	0.021583	0.071429	0.42622	0.98292
RE132	5	0.015362	0.16437	0.92446	0.96296	0.86944	0.96078	-0.037997	-0.40646	0.31655	0.72388	0.6844	0.99032	-0.0061719	-0.06604	0.73741	0.85417	0.94735	0.994	-0.029635	-0.31708	0.48561	0.63084	0.75118	0.98292
